Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
15-03-2018,"2,895.00","2,902.55","2,855.60","2,869.70",337.88,53254,1174453
14-03-2018,"2,892.95","2,923.05","2,875.05","2,886.90",531.89,75794,1834334
13-03-2018,"2,924.90","2,939.70","2,872.00","2,886.80","12,683.60",216131,44033577
12-03-2018,"3,043.00","3,083.90","3,035.50","3,052.15",320.07,46166,1045670
09-03-2018,"3,005.00","3,063.20","2,977.20","3,034.10",283.74,53978,936218
08-03-2018,"3,054.90","3,054.90","2,987.50","3,003.95",294.49,43364,975913
07-03-2018,"3,070.00","3,089.00","3,018.50","3,027.45",292.01,54736,958886
06-03-2018,"3,122.00","3,127.00","3,030.15","3,042.80",294.34,60270,953382
05-03-2018,"3,049.00","3,113.65","3,032.95","3,105.85",439.55,81638,1429084
01-03-2018,"3,049.00","3,061.20","3,020.00","3,037.70",261.35,77493,859062
28-02-2018,"3,035.00","3,063.95","3,021.45","3,035.05",411.47,80437,1353432
27-02-2018,"3,041.00","3,078.55","3,032.00","3,042.35",262.34,49207,858900
26-02-2018,"3,075.00","3,089.95","3,021.20","3,031.70",207.59,45004,681941
23-02-2018,"3,050.00","3,089.00","2,992.10","3,075.80",511.89,86645,1681250
22-02-2018,"3,052.00","3,079.00","3,022.50","3,050.20",527.73,83526,1731505
21-02-2018,"2,974.00","3,062.60","2,960.05","3,042.30",465.89,96721,1544614
20-02-2018,"2,928.00","2,985.05","2,927.90","2,944.75",279.51,60862,944534
19-02-2018,"2,945.00","2,953.30","2,895.20","2,923.60",229.60,37241,784112
16-02-2018,"2,923.00","2,999.60","2,923.00","2,933.05",373.03,52987,1257878
15-02-2018,"2,931.95","2,943.00","2,905.10","2,925.85",360.60,42920,1232618
14-02-2018,"2,970.00","2,974.45","2,892.50","2,911.80",418.54,81932,1423766
12-02-2018,"2,978.30","3,023.35","2,955.55","2,967.30",294.34,49385,987281
09-02-2018,"2,950.00","2,994.00","2,896.65","2,971.70",309.10,71919,1051229
08-02-2018,"2,979.75","3,027.60","2,959.00","2,974.20",413.27,63513,1377502
07-02-2018,"3,027.00","3,031.00","2,947.45","2,955.05",324.35,55520,1090162
06-02-2018,"3,010.00","3,077.15","2,985.00","2,997.25",401.37,53630,1328653
05-02-2018,"3,110.00","3,188.00","3,076.85","3,103.20",430.04,75866,1378871
02-02-2018,"3,120.00","3,190.00","3,103.45","3,153.65",389.02,52829,1228245
01-02-2018,"3,124.00","3,190.00","3,088.80","3,138.60",377.65,66084,1200315
31-01-2018,"3,137.00","3,150.00","3,098.60","3,112.35",474.61,92438,1521607
30-01-2018,"3,180.00","3,203.80","3,143.70","3,152.85",249.32,45149,787379
29-01-2018,"3,131.40","3,225.00","3,122.00","3,198.85",501.96,94269,1570530
